Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2014-01-07,874.6704,892.06753,810.0,810.0,15.62237812,13151.4728443,841.835522304
2014-01-08,810.0,899.84281,788.0,824.98287,19.18275555,16097.3295835,839.156269366
2014-01-09,825.56345,870.0,807.42084,841.86934,8.1583345,6784.24998189,831.57291257
2014-01-10,839.99,857.34056,817.0,857.33056,8.02451046,6780.22018762,844.938793639
2014-01-11,858.2,918.05471,857.16554,899.84105,18.74828487,16698.5669294,890.671709182
2014-01-12,899.96114,900.93989,833.00001,860.0,25.42943314,21880.8789759,860.454845983
2014-01-13,847.32152,859.99999,815.0,835.0,25.86912661,21529.8394965,832.260007114
2014-01-14,835.0,877.293,805.0,831.0,31.66288131,26756.2784474,845.036122437
2014-01-15,831.0,864.0,828.0,850.00364,6.70756459,5698.13937192,849.509430057
2014-01-16,853.0,865.0,824.0,826.97077,28.6020137,24229.4783498,847.12491239
2014-01-17,824.1264,835.06427,788.0,804.0,26.35803928,21249.5804052,806.189723729
2014-01-18,812.90538,844.14159,807.74074,819.51,18.76832727,15488.3389408,825.238110884
2014-01-19,819.51,848.9,819.51,835.0,11.93959203,9816.15919857,822.151977547
2014-01-20,843.94804,855.0,830.1,843.76589,4.44675857,3747.00586897,842.63757746
2014-01-21,840.0,845.98999,820.1,829.01,6.89537424,5771.28159853,836.978733518
2014-01-22,829.0,834.53144,821.0,830.88999,1.71261648,1421.64326067,830.100187214
2014-01-23,822.4,830.88899,821.0,830.88897,11.58125085,9553.06186963,824.873063658
2014-01-24,830.88897,835.48427,783.0,803.01935,25.00906729,20467.1470902,818.389060769
2014-01-25,803.01936,830.0,795.07478,812.02,9.92963832,8121.58912593,817.913892148
2014-01-26,818.0,840.0,813.0,826.72139,6.56973636,5460.46508345,831.154369709
2014-01-27,826.70102,840.0,780.0,780.0,35.69920751,28647.2485175,802.461749592
2014-01-28,780.0,830.0,775.0,815.99,15.75364425,12683.6209851,805.122978774
2014-01-29,815.99,826.22571,795.0,795.0,18.92440096,15228.79163,804.717235814
2014-01-30,802.4522,815.23135,787.01,808.0,27.02869698,21685.0553483,802.297475323
2014-01-31,808.0,812.63409,801.0,812.19037,12.86179583,10370.660588,806.31513088
2014-02-01,807.30274,835.0,803.41261,825.0,6.46833713,5349.32741078,827.001948611
2014-02-02,828.99,835.0,814.86431,814.86431,7.24707014,5997.50007524,827.575828491
2014-02-03,814.86431,819.8,803.64931,819.78,7.27266388,5897.35063407,810.892780331
2014-02-04,808.0,819.78,799.579,802.4,11.42593687,9222.5911235,807.162793602
2014-02-05,802.4,815.89934,802.4,802.5,16.58783411,13331.9693917,803.719720326
2014-02-06,802.5,803.72713,767.60884,767.60884,33.59212509,26129.9872685,777.860501485
2014-02-07,775.2051,775.2051,666.35039,714.12206,64.82321221,46400.4344452,715.799678283
2014-02-08,711.41118,730.0,680.01,699.30255,31.04225383,21966.4505327,707.630658939
2014-02-09,692.37535,756.0998,684.85098,689.0,38.29127444,27581.8414375,720.3166215
2014-02-10,686.83613,748.0,550.0,690.2,29.85666843,19597.3896909,656.382333377
2014-02-11,690.2,720.0,660.0,714.56111,33.33127352,23090.0029753,692.74289689
2014-02-12,709.93,709.93,651.30901,670.6659,17.64185053,11958.4842669,677.84749942
2014-02-13,671.0,680.0,595.6295,623.94582,44.67622419,27921.706133,624.979094344
2014-02-14,629.07483,710.0,586.43,670.33964,42.44993091,27538.0867752,648.719236636
2014-02-15,667.04394,682.78028,646.87689,659.2834,12.18856928,8082.50000252,663.121307911
2014-02-16,665.80764,668.82486,600.0,624.73111,21.45359725,13519.8090677,630.18844393
2014-02-17,636.26205,679.05833,593.67544,638.1016,36.38625764,22913.8594373,629.73938304
2014-02-18,639.69685,652.50738,623.0,636.5201,20.84473994,13283.293927,637.249203647
2014-02-19,634.9328,640.0,602.90667,630.16179,13.0034361,8156.36580587,627.246963275
2014-02-20,631.74114,641.3624,561.14602,561.14602,52.55553649,31683.1123921,602.850137362
2014-02-21,567.26572,597.05351,547.72277,572.2744,25.78998983,14692.5423114,569.699422458
2014-02-22,580.86,620.9,567.54517,610.04308,13.25737802,7930.46365958,598.192466686
2014-02-23,610.11854,650.27996,600.91198,616.88,21.04015547,13068.1884493,621.107028795
2014-02-24,610.97061,616.90079,540.63608,572.0,29.69798167,17337.6066025,583.79747133
2014-02-25,565.38324,568.09339,450.0,535.59831,60.1436847,31042.6770972,516.141923329
2014-02-26,540.89861,650.0,540.89861,587.27133,105.9319009,62667.8566035,591.586255614
2014-02-27,599.00654,629.9,580.5,596.48629,45.76669364,27122.6384389,592.6283129
2014-02-28,589.08864,599.0,570.0,573.94119,29.32087731,17063.7003737,581.964181812
2014-03-01,570.0,605.0,550.0,575.0,8.04168109,4619.85935622,574.489252249
2014-03-02,575.0,588.079,572.41339,578.0,2.16169433,1257.54606228,581.740926469
2014-03-03,583.73562,700.0,583.73562,666.9435,67.8440946,42674.8809179,629.013935104
2014-03-04,675.0,720.0,661.47675,680.6,27.72139328,19056.7389954,687.437994293
2014-03-05,680.6,690.17141,660.01,680.99,5.23012654,3521.91137319,673.389323614
2014-03-06,670.01,693.0,660.1,666.70413,7.41231484,4972.25003539,670.809341308
2014-03-07,670.0829,680.463,628.73046,636.20048,10.85544957,7104.37625646,654.452513518
2014-03-08,648.91429,667.98953,623.0,636.0088,4.19914366,2711.86097014,645.812858458
2014-03-09,642.401,658.0,629.05259,647.9349,2.01748158,1299.19545694,643.968931276
2014-03-10,641.99,684.5,630.0,642.0757,6.30764832,4099.05875356,649.855309872
2014-03-11,646.93423,665.93423,560.0,641.0,18.48654959,11342.8015583,613.570504494
2014-03-12,648.14505,660.0,550.275,632.31094,8.3160946,5316.83124686,639.342323843
2014-03-13,644.429,657.99101,620.0,653.39758,4.38727322,2836.10567009,646.439263723
2014-03-14,653.39758,654.91385,550.0,631.23955,24.63109263,15683.1866617,636.723140841
2014-03-15,631.25,646.0,618.29313,646.0,3.19846133,2040.56662593,637.98383516
2014-03-16,646.0469,652.0,639.0,651.95,7.61949564,4898.74125211,642.921983759
2014-03-17,641.14149,641.14149,616.00101,637.73128,1.9084555,1196.43707818,626.913793997
2014-03-18,628.0,633.989,610.01,619.78308,9.0488114,5585.01808043,617.210132198
2014-03-19,622.0,633.663,612.22,620.062,5.52856344,3426.03696841,619.697504711
2014-03-20,621.08659,625.01788,590.0,590.0,7.82790364,4715.0478596,602.338515705
2014-03-21,590.0,615.22654,580.0,590.0,16.27100015,9667.68987428,594.166909542
2014-03-22,590.0,596.0,554.05,572.29918,11.83805962,6716.21180333,567.340596256
2014-03-23,576.36897,596.0,566.35804,568.53521,1.31873908,764.381988155,579.63095183
2014-03-24,574.22,592.53871,554.50454,585.40025,5.68481521,3251.78024164,572.01159959
2014-03-25,584.0,591.14973,579.0,584.0,5.97791428,3489.77874514,583.778652835
2014-03-26,579.05,641.14149,579.0,585.0851,13.08114995,7657.0321166,585.348547021
2014-03-27,585.1,599.27378,500.01,512.7888,35.31377035,19410.7180715,549.664277678
2014-03-28,507.71418,553.0,500.0,516.48107,43.68897138,22757.8022059,520.90496725
2014-03-29,511.37991,518.0,505.0,514.99,6.10790794,3123.46745191,511.380898761
2014-03-30,506.17549,506.17549,436.07375,462.47601,33.23922152,15817.7998264,475.87756581
2014-03-31,468.76285,530.0,443.35,462.38593,17.58660863,8232.05458017,468.086528413
2014-04-01,465.33984,503.23111,465.2,489.0,20.24699944,9912.41548754,489.574542485
2014-04-02,489.0,497.1468,443.625,443.625,12.40566408,5982.20192808,482.215372713
2014-04-03,440.01,463.7,426.45421,461.85,16.79680298,7530.39014404,448.322823873
2014-04-04,454.06034,550.0,440.0,458.84148,19.87883682,9151.4804382,460.362974004
2014-04-05,453.38455,467.85,447.56953,467.85,0.94414487,431.121717242,456.62665862
2014-04-06,467.838,469.43834,450.0,461.81827,5.1169521,2360.64456165,461.338022229
2014-04-07,465.49125,475.32049,450.0,462.07946,7.08636684,3276.75994961,462.40337589
2014-04-08,465.8142,465.8242,450.0,458.87469,3.46875095,1582.76801419,456.293356601
2014-04-09,459.21387,462.09031,450.0,452.99853,1.13219204,516.556759434,456.244825245
2014-04-10,450.01,450.01,368.13673,371.7835,17.22029124,7187.89587889,417.408496681
2014-04-11,368.10427,583.75327,353.75804,431.0,18.05442299,7414.76023381,410.689404913
2014-04-12,431.01,450.0,429.01001,448.0,8.75071499,3913.28356731,447.195865913
2014-04-13,429.00001,445.97999,407.07491,429.7899,9.31548393,3950.48629546,424.077409735
2014-04-14,411.33828,480.06527,411.33828,451.05736,42.69095344,18960.5241399,444.134473748
2014-04-15,472.77984,573.66927,450.49878,535.11388,31.04150095,15542.7831032,500.70977973
2014-04-16,529.81309,544.56794,490.55578,523.53017,51.25685199,26832.1120964,523.483418405
2014-04-17,523.53017,530.35862,495.53036,503.84789,16.07659504,8262.23219505,513.929235295
2014-04-18,504.60219,515.0,477.19035,485.37368,31.4900663,15648.443728,496.932701853
2014-04-19,485.5939,525.28225,479.95971,504.49054,10.96943779,5512.79119027,502.559137105
2014-04-20,506.21045,510.0,500.0,504.73422,1.540555,781.748449126,507.445984808
2014-04-21,507.0,517.31024,485.0,496.41683,17.33264568,8626.49616106,497.702215826
2014-04-22,501.33676,510.49,484.62239,489.72443,7.48967694,3735.21034587,498.714480717
2014-04-23,492.85243,497.73461,489.0,495.61699,7.02182626,3468.09482632,493.902112913
2014-04-24,495.0,503.48132,490.00001,503.48132,3.58845262,1766.63470354,492.311001599
2014-04-25,496.68623,496.68623,448.99999,471.43037,27.91399844,13145.8223321,470.940139957
2014-04-26,466.81001,472.13557,456.75,463.70172,2.84557385,1321.27028508,464.324721385
2014-04-27,463.6817,463.6817,435.0,435.0,3.75205363,1689.95578594,450.408217097
2014-04-28,435.0,455.0942,429.0854,444.09466,5.28039881,2320.24650468,439.407436477
2014-04-29,444.09466,454.62328,435.6527,445.67967,7.31102956,3276.4334327,448.149389332
2014-04-30,450.08456,452.82438,441.23028,448.34318,9.05765928,4071.93181309,449.55674388
2014-05-01,448.0,464.41767,448.0,459.32469,14.50944605,6631.16049125,457.023684322
2014-05-02,456.08044,456.08044,446.49411,455.16381,7.07584484,3197.89698623,451.94560629
2014-05-03,450.279,452.07737,432.4255,441.03514,8.50354106,3757.03106835,441.819595136
2014-05-04,436.71066,445.40401,431.16639,441.99999,1.77169072,771.453800877,435.433674833
2014-05-05,436.59405,439.99999,429.18,429.18,5.65738445,2449.00253478,432.886001725
2014-05-06,429.18,439.68974,422.19,431.86952,5.74595495,2476.72131732,431.037371311
